Database Tables

	Table Name	Access Type	Accesses	Gross [microsec]	B	BuffType	Table Category	P/C	Short Description	Package

	ABAP SQL Setup	Open SQL	  1,210	          83,791					Internal ABAP SQL Events; See SAP Note 03290913
	FINSC_LD_CMP	Open SQL	     12	          21,137	On	Complete	TRANSP		CompCode-Dependent Settings for Univ. Journal Entry Ledger	FINS_ACDOC_CUST
	INOB	Open SQL	      5	          17,767			TRANSP		Link between Internal Number and Object	CL
	ZI_WRAP_SETLEAF	Open SQL	      8	          17,381			?	?	?
	FINSC_001A	Open SQL	      2	          17,124	On	Complete	TRANSP		Currency conversion settings for company code	FINS_ACDOC_CUST
	FINSC_CMP_VERSNC	Open SQL	      7	          15,683	On	Complete	TRANSP		Det. G/L Ledger and Fields for CO-Version (for CompatViews)	FINS_ACDOC_CUST
	ZI_CONSTANTPARAMETERSF	Open SQL	      7	          14,919			?	?	?
	/SAPAPO/MARM	Open SQL	      2	          14,407			TRANSP		Units of Measure	/SAPAPO/MAT
	MARA	Open SQL	      6	          14,050			TRANSP		General Material Data	MG
	I_PRODUCT	Open SQL	      5	          13,599			?	?	?
	V_MBEW_MD	Open SQL	      5	          13,181			VIEW		Generated Table for View	MBV_DB
	NRIVSHADOW	Open SQL	      5	          10,269	(Cust)		TRANSP		Local NRIV for multiprocessor machines	SZN
	T001	Open SQL	     40	           9,766	On	Generic	TRANSP		Company Codes	FBZCORE
	MCH1	Open SQL	      3	           9,279			TRANSP		Batches (if Batch Management Cross-Plant)	LO_BM_BATCH_DB
	NRIV	Open SQL	      4	           9,215	(Cust)		TRANSP		Number Range Intervals	SZN
	I_PRODUCTPLANTBASIC	Open SQL	      2	           8,831			?	?	?
	/SAPAPO/MATKEY	Open SQL	      2	           8,736			TRANSP		Product	/SAPAPO/MAT
	CKMLCR	Open SQL	      3	           8,624			TRANSP		Material Ledger: Period Totals Records Values	CKML
	/SCWM/HUHDR	Open SQL	      3	           8,253			TRANSP		Handling unit header	/SCWM/CORE
	ZI_WRAP_T030H	Open SQL	      4	           8,076			?	?	?
	ZI_JNTVNTRSUBSTITUTECOSTOBJECT	Open SQL	      3	           7,315			?	?	?
	CKMLPP	Open SQL	      3	           7,294			TRANSP		Material Ledger Period Totals Records Quantity	CKML
	MCHA	Open SQL	      3	           7,149			TRANSP		Batches	LO_BM_BATCH_DB
	V_MARC_MD	Open SQL	      3	           7,135			VIEW		Generated Table for View	MGA_NSDM
	MARDHO1	Open SQL	      1	           7,121			TRANSP		MARDH: Aditional quantities appendix	OIB
	I_GLACCOUNT	Open SQL	      1	           7,008			?	?	?
	ACDOCA_M_EXTRACT	Open SQL	      3	           6,908			TRANSP		ACDOCA Extract Table for Material Ledger	FINS_ML_EXTRACT
	MCHBHO1	Open SQL	      1	           6,266			TRANSP		MCHBH: Additional quantities appendix	OIB
	/MERP/EWM_HU_EX	Open SQL	      2	           6,167			TRANSP		Exchange Table - Handling Units	/MERP/EXCH_WM
