Hit List: Data Accesses External / ...

	Hits	Gross [microsec]	Net [microsec]	Gross [%]	Net [%]	Statement/Event	Program Called	Calling Program

	  9	          8,609	        8,609	     0.11	   0.11	DB: Open USOBX_C	ZCL_JVA_FI_DOC_DFTCO_IMP======CP	ZCL_JVA_FI_DOC_DFTCO_IMP======CP
	 10	          5,830	        5,830	     0.07	   0.07	DB: Exec VBMOD	SAPMM07M	SAPMM07M
	  1	          5,754	        5,754	     0.07	   0.07	DB: Open /SAPAPO/MARM	/SAPAPO/SAPLDM_MATERIAL	/SAPAPO/SAPLDM_MATERIAL
	  1	          5,730	        5,730	     0.07	   0.07	DB: Fetch MARDHO1	SAPLOIB2_EXT_1	SAPLOIB2_EXT_1
	  1	          5,567	        5,567	     0.07	   0.07	DB: Open /SAPAPO/MARM	/SAPAPO/SAPLDM_MATERIAL	/SAPAPO/SAPLDM_MATERIAL
	  9	          5,443	        5,443	     0.07	   0.07	DB: Open TRNSPACEL	/SYCLO/CL_CORE_WD_TOOLS=======CP	/SYCLO/CL_CORE_WD_TOOLS=======CP
	  1	          4,667	        4,667	     0.06	   0.06	DB: Fetch MCHBHO1	SAPLOIB2_EXT_1	SAPLOIB2_EXT_1
	  5	          4,599	        4,599	     0.06	   0.06	DB: Open UST12	ZCL_DEFAULT_HT_GOODSMVT_CREATECP	ZCL_DEFAULT_HT_GOODSMVT_CREATECP
	  9	          4,374	        4,374	     0.06	   0.06	DB: Open TCVPROF	SAPLPC32	SAPLPC32
	  2	          4,158	        4,158	     0.05	   0.05	DB: Open /SAPAPO/MATKEY	/SAPAPO/SAPLDM_MATERIAL	/SAPAPO/SAPLDM_MATERIAL
	  6	          4,146	        4,146	     0.05	   0.05	DB: Open USOBX_C	ZCL_MIGO_BADI_HT_MODIFY=======CP	ZCL_MIGO_BADI_HT_MODIFY=======CP
	  9	          3,973	        3,973	     0.05	   0.05	DB: Open TCVPROFT	SAPLPC32	SAPLPC32
	  8	          3,702	        3,702	     0.05	   0.05	DB: Exec VBMOD	/OTAS/SAPLFC_KFAKTOR2	/OTAS/SAPLFC_KFAKTOR2
	  2	          3,659	        3,659	     0.05	   0.05	DB: Prepare INOB	SAPLCLFC	SAPLCLFC
	  5	          3,582	        3,582	     0.05	   0.05	DB: Fetch V_MBEW_MD	/SCWM/CL_ERP_PI_S4============CP	/SCWM/CL_ERP_PI_S4============CP
	  5	          3,572	        3,572	     0.05	   0.05	DB: Open V_MBEW_MD	/SCWM/CL_ERP_PI_S4============CP	/SCWM/CL_ERP_PI_S4============CP
	  1	          3,465	        3,465	     0.04	   0.04	DB: Fetch SABP_BEHV_HDLR_V	CL_ABAP_BEHV_EJOB=============CP	CL_ABAP_BEHV_EJOB=============CP
	  1	          3,459	        3,459	     0.04	   0.04	DB: Open VBHDR	SAPLFBUP	SAPLFBUP
	  3	          3,394	        3,394	     0.04	   0.04	DB: Open /SAPAPO/MATGROUP	/SCWM/CL_AF_MATERIAL_BASE_S4==CP	/SCWM/CL_AF_MATERIAL_BASE_S4==CP
	  6	          3,292	        3,292	     0.04	   0.04	DB: Fetch RFCCBWHITELIST	CL_DEST_RFC===================CP	CL_DEST_RFC===================CP
	  3	          3,120	        3,120	     0.04	   0.04	DB: Open DD01L	RADBTDDF	RADBTDDF
	  3	          2,831	        2,831	     0.04	   0.04	DB: Open DD02T	/SYCLO/CL_CORE_BOM_EXCHOBJ====CP	/SYCLO/CL_CORE_BOM_EXCHOBJ====CP
	  2	          2,811	        2,811	     0.04	   0.04	DB: Prepare MCH1	SAPLV01P	SAPLV01P
	  2	          2,804	        2,804	     0.04	   0.04	DB: Prepare DYNABAPHDR	SAPLSBAL_DISPLAY_BASE	SAPLSBAL_DISPLAY_BASE
	  3	          2,786	        2,786	     0.04	   0.04	DB: Open DD01T	RADBTDDF	RADBTDDF
	  9	          2,750	        2,750	     0.03	   0.03	DB: Fetch USOBX_C	ZCL_JVA_FI_DOC_DFTCO_IMP======CP	ZCL_JVA_FI_DOC_DFTCO_IMP======CP
	  1	          2,670	        2,670	     0.03	   0.03	DB: Prepare CKMLKEV	SAPLMLCCS_CUSTOMIZING	SAPLMLCCS_CUSTOMIZING
	  1	          2,653	        2,653	     0.03	   0.03	DB: Prepare /SCWM/THARSERPRO	/SCWM/CL_SERIAL_BAS_S4========CP	/SCWM/CL_SERIAL_BAS_S4========CP
	  5	          2,639	        2,639	     0.03	   0.03	DB: Fetch UST12	ZCL_DEFAULT_HT_GOODSMVT_CREATECP	ZCL_DEFAULT_HT_GOODSMVT_CREATECP
	  4	          2,579	        2,579	     0.03	   0.03	DB: Open MARA	SAPLV01Z	SAPLV01Z
	  1	          2,527	        2,527	     0.03	   0.03	DB: Prepare ZI_WRAP_SETLEAF	ZCL_JVA_FI_DOC_AFTER_SPLIT_IMPCP	ZCL_JVA_FI_DOC_AFTER_SPLIT_IMPCP
	  2	          2,523	        2,523	     0.03	   0.03	DB: Fetch ACDOCA_M_EXTRACT	CL_FML_ACDOCA_M_EXTRACT_UTIL==CP	CL_FML_ACDOCA_M_EXTRACT_UTIL==CP
	  4	          2,506	        2,506	     0.03	   0.03	DB: Fetch /SYCLO/MDW00	/SMFND/CL_CORE_EXOBJ_TOOLS====CP	/SMFND/CL_CORE_EXOBJ_TOOLS====CP
	  4	          2,496	        2,496	     0.03	   0.03	DB: Open FCLMGLACCOUNTBAMACCOUNT	CL_FQM_ACCOUNT_GENERATE=======CP	CL_FQM_ACCOUNT_GENERATE=======CP
	  1	          2,476	        2,476	     0.03	   0.03	DB: Prepare USOBX_C	/SCWM/R_INITIALSTOCKUPLOAD	/SCWM/R_INITIALSTOCKUPLOAD
	  2	          2,461	        2,461	     0.03	   0.03	DB: Prepare INOB	SAPLCLFC	SAPLCLFC
	  1	          2,437	        2,437	     0.03	   0.03	DB: Prepare /SCWM/HUHDR	/SCWM/CL_HUID_SERVICE=========CP	/SCWM/CL_HUID_SERVICE=========CP
	  2	          2,417	        2,417	     0.03	   0.03	DB: Prepare CKMLCR	CL_FML_ACDOCA_M_EXTRACT_UTIL==CP	CL_FML_ACDOCA_M_EXTRACT_UTIL==CP
	  2	          2,409	        2,409	     0.03	   0.03	DB: Exec VBMOD	/SYCLO/CL_CORE_EXCH_SERV======CP	/SYCLO/CL_CORE_EXCH_SERV======CP
	  2	          2,396	        2,396	     0.03	   0.03	DB: Prepare INOB	SAPLCLFC	SAPLCLFC
	  3	          2,374	        2,374	     0.03	   0.03	DB: Open REPOLOAD	/SCWM/SAPLHUFUNC_BASIC	/SCWM/SAPLHUFUNC_BASIC
	  3	          2,335	        2,335	     0.03	   0.03	DB: Open FTG_HEADER	CL_FTG========================CP	CL_FTG========================CP
	  4	          2,324	        2,324	     0.03	   0.03	DB: Open OIB_DEF_INDEX_GM	SAPLOIB_QCI	SAPLOIB_QCI
	  4	          2,281	        2,281	     0.03	   0.03	DB: Open USOBX_C	SAPLCTMS	SAPLCTMS
	  4	          2,246	        2,246	     0.03	   0.03	DB: Exec VBMOD	/SCWM/SAPLGMVT	/SCWM/SAPLGMVT
	  3	          2,199	        2,199	     0.03	   0.03	DB: Open RFCDES	CL_DEST_ROOT==================CP	CL_DEST_ROOT==================CP
	  6	          2,137	        2,137	     0.03	   0.03	DB: Open USOBX_C	ZCL_OIL_MATERIAL_PROCESS======CP	ZCL_OIL_MATERIAL_PROCESS======CP
	  3	          2,065	        2,065	     0.03	   0.03	DB: Open USOBX_C	ZCL_JVA_FI_DOC_DFTCO_IMP======CP	ZCL_JVA_FI_DOC_DFTCO_IMP======CP
	  1	          2,053	        2,053	     0.03	   0.03	DB: Open DD02L	RADBTDDF	RADBTDDF
