Hit List: Data Accesses Internal / ...

	Hits	Gross [microsec]	Net [microsec]	Gross [%]	Net [%]	Statement/Event	Program Called	Calling Program

	  1	         19,641	       19,641	     0.25	   0.25	DB Buffer: Fetch TABL FETCH(Q)	CL_FINS_CUST_CONSISTENCY_DATA=CP	CL_FINS_CUST_CONSISTENCY_DATA=CP
	  2	         16,987	       16,987	     0.22	   0.22	DB Buffer: Fetch TABL FETCH(Q)	CL_FINS_CUST_CONSISTENCY_DATA=CP	CL_FINS_CUST_CONSISTENCY_DATA=CP
	  1	         15,266	       15,266	     0.19	   0.19	DB Buffer: Fetch TABL FETCH(Q)	CL_FINS_CUST_CONSISTENCY_DATA=CP	CL_FINS_CUST_CONSISTENCY_DATA=CP
	  1	          5,965	        5,965	     0.08	   0.08	Commit Work	/SCWM/CL_MIG_STOCK============CP	/SCWM/CL_MIG_STOCK============CP
	  2	          5,826	        5,826	     0.07	   0.07	DB Buffer: Fetch TABL FETCH(Q)	CL_FINS_CUST_CONSISTENCY_DATA=CP	CL_FINS_CUST_CONSISTENCY_DATA=CP
	  2	          4,967	        4,967	     0.06	   0.06	DB Buffer: Fetch TABL FETCH(Q)	CL_FINS_CUST_CONSISTENCY_DATA=CP	CL_FINS_CUST_CONSISTENCY_DATA=CP
	  2	          4,783	        4,783	     0.06	   0.06	DB Buffer: Fetch TABL FETCH(Q)	CL_FINS_CUST_CONSISTENCY_DATA=CP	CL_FINS_CUST_CONSISTENCY_DATA=CP
	 47	          3,309	        3,309	     0.04	   0.04	Import Nametab /SCWM/T300	SAPLSABP_DD_CATALOG	SAPLSABP_DD_CATALOG
	  1	          1,131	        1,131	     0.01	   0.01	DB Buffer: Fetch TABL FETCH(Q)	CL_ACE_CFG_DB_BUFFER==========CP	CL_ACE_CFG_DB_BUFFER==========CP
	107	            978	          978	     0.01	   0.01	DB Buffer: Open TABL OPEN(Q)	CL_DD_TEXT_PROVIDER===========CP	CL_DD_TEXT_PROVIDER===========CP
	  1	            951	          951	     0.01	   0.01	DB Buffer: Fetch TABL FETCH(Q)	/SCDL/CL_DL_LOGFNAME==========CP	/SCDL/CL_DL_LOGFNAME==========CP
	 78	            917	          917	     0.01	   0.01	Import Nametab MATNR	SAPLSABP_DD_CATALOG	SAPLSABP_DD_CATALOG
	  1	          3,080	          874	     0.04	   0.01	Import From Database INDX	SAPLKEFT	SAPLKEFT
	 11	            704	          704	     0.01	   0.01	Import From Shared Buffer DF/SCWM/T300	CL_DD_DFIES_CACHE=============CP	CL_DD_DFIES_CACHE=============CP
	 18	            604	          604	     0.01	   0.01	DB Buffer: Fetch TABL FETCH(Q)	CL_WB2_MB_REBATE_SETTLEMENT===CP	CL_WB2_MB_REBATE_SETTLEMENT===CP
	 63	            565	          565	     0.01	   0.01	DB Buffer: Open TABL OPEN(Q)	SAPLOLEA	SAPLOLEA
	 12	            476	          476	     0.01	   0.01	Import From Shared Buffer DFMATERIAL_OKEY	CL_DD_DFIES_CACHE=============CP	CL_DD_DFIES_CACHE=============CP
	107	            468	          468	     0.01	   0.01	DB Buffer: Fetch TABL FETCH(Q)	CL_DD_TEXT_PROVIDER===========CP	CL_DD_TEXT_PROVIDER===========CP
	 98	            441	          441	     0.01	   0.01	DB Buffer: Open TABL OPEN(Q)	ZCL_MIGO_BADI_HT_MODIFY=======CP	ZCL_MIGO_BADI_HT_MODIFY=======CP
	  1	            437	          437	     0.01	   0.01	Export To Memory CTMS_M0000000001	SAPLCTMS	SAPLCTMS
	  7	            435	          435	     0.01	   0.01	DB Buffer: Fetch TABL FETCH(Q)	CL_FINS_ACDOC_UTIL============CP	CL_FINS_ACDOC_UTIL============CP
	 98	          3,071	          420	     0.04	   0.01	DB Buffer: Open TABL OPEN(Q)	ZCL_DEFAULT_HT_GOODSMVT_CREATECP	ZCL_DEFAULT_HT_GOODSMVT_CREATECP
	  1	            401	          401	     0.01	   0.01	Import From Shared Memory XXINACTIVE_PACKAGES	CL_PAK_INACTIVE_EXT_PACKAGES==CP	CL_PAK_INACTIVE_EXT_PACKAGES==CP
	  1	            387	          387	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	/SCDL/CL_DL_LOGFNAME==========CP	/SCDL/CL_DL_LOGFNAME==========CP
	  1	            379	          379	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	CL_ACE_CFG_DB_BUFFER==========CP	CL_ACE_CFG_DB_BUFFER==========CP
	  1	          3,320	          333	     0.04	  <0.01	Fetch MARA	SAPLMG21	SAPLMG21
	 50	            325	          325	    <0.01	  <0.01	DB Buffer: Get TABLP GET	SAPLCNDP	SAPLCNDP
	  1	            321	          321	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	SAPLCKMLMVQUANT	SAPLCKMLMVQUANT
	 46	            319	          319	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	ZCL_OIL_MATERIAL_PROCESS======CP	ZCL_OIL_MATERIAL_PROCESS======CP
	 58	            316	          316	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	CL_EXITHANDLER================CP	CL_EXITHANDLER================CP
	 47	            313	          313	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	CL_BADI_FLT_DATA_TRANS_AND_DB=CP	CL_BADI_FLT_DATA_TRANS_AND_DB=CP
	 49	            309	          309	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	CL_EXIT_MASTER================CP	CL_EXIT_MASTER================CP
	  1	            309	          309	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	CL_FCLM_QS_INFOACCOUNT_DAO_DT=CP	CL_FCLM_QS_INFOACCOUNT_DAO_DT=CP
	  2	          2,260	          297	     0.03	  <0.01	Open Cursor ISEGO1	SAPLOIB_MM	SAPLOIB_MM
	  1	            651	          296	     0.01	  <0.01	Abap Sql CEPC_BUKRS	SAPLPC00	SAPLPC00
	117	            287	          287	    <0.01	  <0.01	DB Buffer: Get TABLP GET	SAPLRWCL	SAPLRWCL
	  1	          1,005	          266	     0.01	  <0.01	Fetch MARA	SAPLMG21	SAPLMG21
	  4	            265	          265	    <0.01	  <0.01	Import From Shared Buffer DFBAL_S_SHOW	CL_DD_DFIES_CACHE=============CP	CL_DD_DFIES_CACHE=============CP
	  7	            336	          255	    <0.01	  <0.01	Abap Sql CRMC_IT_ASSIGN	SAPLCRM_ORDER_CB	SAPLCRM_ORDER_CB
	  1	          2,661	          252	     0.03	  <0.01	Fetch /SAPAPO/MATLWH	/SAPAPO/SAPLMAT_MASTER	/SAPAPO/SAPLMAT_MASTER
	  9	          6,108	          249	     0.08	  <0.01	Select Single TCVPROF	SAPLPC32	SAPLPC32
	 75	            247	          247	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	/SCDL/CL_AF_MANAGEMENT========CP	/SCDL/CL_AF_MANAGEMENT========CP
	 65	            244	          244	    <0.01	  <0.01	Import From Memory cntl_list	SAPLCNTH	SAPLCNTH
	  1	            244	          244	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	SAPLMCB1	SAPLMCB1
	 55	            243	          243	    <0.01	  <0.01	Import From Memory cntl_list	SAPLCNTH	SAPLCNTH
	  1	          2,040	          237	     0.03	  <0.01	Open Cursor V_MARC_MD	CL_NSDM_SELECT_MARC===========CP	CL_NSDM_SELECT_MARC===========CP
	 75	            232	          232	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	CL_EXIT_MASTER================CP	CL_EXIT_MASTER================CP
